co,no,no2,o3,so2,pm2_5,pm10,nh3,datetime,lat,lon,aqi,id
410.56,1.9,41.47,7.78,4.71,9.9,15.92,1.44,2020-11-27 00:00:00,41.8798,-87.6285,2,0
377.18,0.72,35.99,12.52,4.65,8.53,13.4,0.97,2020-11-27 01:00:00,41.8798,-87.6285,1,1
347.14,0.34,31.19,16.81,4.59,7.75,11.57,0.71,2020-11-27 02:00:00,41.8798,-87.6285,1,2
337.12,0.27,29.47,17.88,4.53,7.76,10.98,0.64,2020-11-27 03:00:00,41.8798,-87.6285,1,3
337.12,0.31,29.47,16.63,4.65,8.2,11.27,0.64,2020-11-27 04:00:00,41.8798,-87.6285,1,4
343.8,0.47,31.19,13.77,5.13,9.09,12.33,0.68,2020-11-27 05:00:00,41.8798,-87.6285,1,5
353.81,0.81,33.59,10.19,5.42,10.11,13.61,0.73,2020-11-27 06:00:00,41.8798,-87.6285,2,6
373.84,2.1,37.01,5.59,5.6,11.51,15.54,0.91,2020-11-27 07:00:00,41.8798,-87.6285,2,7
453.95,11.85,41.81,0.63,6.14,15.21,21.12,1.79,2020-11-27 08:00:00,41.8798,-87.6285,2,8
574.11,29.95,44.55,0.2,7.57,19.73,27.88,2.88,2020-11-27 09:00:00,41.8798,-87.6285,2,9
640.87,40.68,45.93,1.25,10.25,21.96,31.8,3.45,2020-11-27 10:00:00,41.8798,-87.6285,3,10
567.44,30.4,45.24,3.0,14.07,20.18,29.29,2.95,2020-11-27 11:00:00,41.8798,-87.6285,3,11
534.06,26.6,45.93,3.84,15.97,19.48,28.15,2.72,2020-11-27 12:00:00,41.8798,-87.6285,2,12
527.38,27.49,45.93,3.44,16.93,19.42,27.72,2.76,2020-11-27 13:00:00,41.8798,-87.6285,2,13
433.92,12.63,39.76,15.2,11.8,17.89,23.37,1.81,2020-11-27 14:00:00,41.8798,-87.6285,2,14
380.52,7.82,29.47,30.76,8.7,16.56,20.47,1.6,2020-11-27 15:00:00,41.8798,-87.6285,2,15
353.81,5.31,26.73,37.55,7.87,14.31,17.5,1.69,2020-11-27 16:00:00,41.8798,-87.6285,2,16
370.5,2.38,33.93,32.54,7.87,14.29,17.56,2.22,2020-11-27 17:00:00,41.8798,-87.6285,2,17
413.9,0.56,45.93,19.31,8.11,15.03,18.86,2.91,2020-11-27 18:00:00,41.8798,-87.6285,2,18
433.92,0.82,50.72,16.09,7.03,13.63,17.45,3.04,2020-11-27 19:00:00,41.8798,-87.6285,2,19
433.92,0.84,51.41,16.27,6.2,12.46,16.3,3.07,2020-11-27 20:00:00,41.8798,-87.6285,2,20
433.92,0.85,50.72,16.09,6.02,12.06,16.09,3.33,2020-11-27 21:00:00,41.8798,-87.6285,2,21
420.57,0.6,47.3,18.6,5.78,10.9,14.87,3.33,2020-11-27 22:00:00,41.8798,-87.6285,2,22
410.56,0.48,45.24,20.74,5.54,10.07,14.14,3.2,2020-11-27 23:00:00,41.8798,-87.6285,2,23
403.88,0.4,44.55,21.64,5.6,9.36,13.36,2.98,2020-11-28 00:00:00,41.8798,-87.6285,2,24
373.84,0.17,39.41,25.75,5.84,7.61,10.85,2.57,2020-11-28 01:00:00,41.8798,-87.6285,1,25
343.8,0.08,32.56,30.04,5.72,6.21,8.75,2.63,2020-11-28 02:00:00,41.8798,-87.6285,1,26
330.45,0.08,29.13,30.04,5.13,5.84,8.23,2.76,2020-11-28 03:00:00,41.8798,-87.6285,1,27
327.11,0.11,28.45,27.54,4.95,6.0,8.54,2.79,2020-11-28 04:00:00,41.8798,-87.6285,1,28
327.11,0.14,28.45,25.03,5.07,6.19,8.9,2.85,2020-11-28 05:00:00,41.8798,-87.6285,1,29
320.44,0.17,27.42,24.32,5.36,6.12,8.87,2.88,2020-11-28 06:00:00,41.8798,-87.6285,1,30
320.44,0.24,27.76,22.89,5.66,6.29,9.15,3.07,2020-11-28 07:00:00,41.8798,-87.6285,1,31
360.49,0.96,34.96,15.2,5.96,7.99,11.87,3.9,2020-11-28 08:00:00,41.8798,-87.6285,1,32
413.9,4.86,41.13,9.39,6.32,9.64,14.75,4.62,2020-11-28 09:00:00,41.8798,-87.6285,2,33
420.57,11.96,33.59,19.85,6.56,9.42,14.87,3.9,2020-11-28 10:00:00,41.8798,-87.6285,1,34
377.18,11.62,25.71,32.54,7.45,7.95,12.84,3.23,2020-11-28 11:00:00,41.8798,-87.6285,1,35
